"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"iat","","816","f","206","335532","sane","humanizing","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","false",""
"iat","","1505","f","208","337295","fragile","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","5054","f","210","342603","bipolar disorder","disorders","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","726","j","212","343582","therapy","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","1349","f","214","345198","insane","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","1784","j","216","347237","difficult","humanizing","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","1150","f","218","348646","dangerous","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","1052","f","220","349961","schizophrenia","disorders","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","1775","f","223","353796","useless","stigmatizing","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1004","f","225","355064","unpredictable","stigmatizing","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","2076","f","227","357402","fragile","stigmatizing","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1215","f","229","358880","medication","treatment","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","2041","f","231","361188","therapy","treatment","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1043","j","233","362495","body dysmorphia","disorders","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1110","f","235","363868","rational","humanizing","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","false",""
"iat","","715","f","237","364848","insane","stigmatizing","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1236","f","239","366338","eating disorder","disorders","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","false",""
"iat","","1107","f","241","367705","weird","stigmatizing","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1461","j","243","369431","substance abuse disorder","disorders","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1484","f","245","371177","psychotic","stigmatizing","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
